id,state_id/id,name
01001,base.state_us_1,Autauga County
01003,base.state_us_1,Baldwin County
01005,base.state_us_1,Barbour County
01007,base.state_us_1,Bibb County
01009,base.state_us_1,Blount County
01011,base.state_us_1,Bullock County
01013,base.state_us_1,Butler County
01015,base.state_us_1,Calhoun County
01017,base.state_us_1,Chambers County
01019,base.state_us_1,Cherokee County
01021,base.state_us_1,Chilton County
01023,base.state_us_1,Choctaw County
01025,base.state_us_1,Clarke County
01027,base.state_us_1,Clay County
01029,base.state_us_1,Cleburne County
01031,base.state_us_1,Coffee County
01033,base.state_us_1,Colbert County
01035,base.state_us_1,Conecuh County
01037,base.state_us_1,Coosa County
01039,base.state_us_1,Covington County
01041,base.state_us_1,Crenshaw County
01043,base.state_us_1,Cullman County
01045,base.state_us_1,Dale County
01047,base.state_us_1,Dallas County
01049,base.state_us_1,DeKalb County
01051,base.state_us_1,Elmore County
01053,base.state_us_1,Escambia County
01055,base.state_us_1,Etowah County
01057,base.state_us_1,Fayette County
01059,base.state_us_1,Franklin County
01061,base.state_us_1,Geneva County
01063,base.state_us_1,Greene County
01065,base.state_us_1,Hale County
01067,base.state_us_1,Henry County
01069,base.state_us_1,Houston County
01071,base.state_us_1,Jackson County
01073,base.state_us_1,Jefferson County
01075,base.state_us_1,Lamar County
01077,base.state_us_1,Lauderdale County
01079,base.state_us_1,Lawrence County
01081,base.state_us_1,Lee County
01083,base.state_us_1,Limestone County
01085,base.state_us_1,Lowndes County
01087,base.state_us_1,Macon County
01089,base.state_us_1,Madison County
01091,base.state_us_1,Marengo County
01093,base.state_us_1,Marion County
01095,base.state_us_1,Marshall County
01097,base.state_us_1,Mobile County
01099,base.state_us_1,Monroe County
01101,base.state_us_1,Montgomery County
01103,base.state_us_1,Morgan County
01105,base.state_us_1,Perry County
01107,base.state_us_1,Pickens County
01109,base.state_us_1,Pike County
01111,base.state_us_1,Randolph County
01113,base.state_us_1,Russell County
01115,base.state_us_1,St. Clair County
01117,base.state_us_1,Shelby County
01119,base.state_us_1,Sumter County
01121,base.state_us_1,Talladega County
01123,base.state_us_1,Tallapoosa County
01125,base.state_us_1,Tuscaloosa County
01127,base.state_us_1,Walker County
01129,base.state_us_1,Washington County
01131,base.state_us_1,Wilcox County
01133,base.state_us_1,Winston County
02013,base.state_us_2,Aleutians East Borough
02016,base.state_us_2,Aleutians West Census Area
02020,base.state_us_2,Anchorage Municipality
02050,base.state_us_2,Bethel Census Area
02060,base.state_us_2,Bristol Bay Borough
02068,base.state_us_2,Denali Borough
02070,base.state_us_2,Dillingham Census Area
02090,base.state_us_2,Fairbanks North Star Borough
02100,base.state_us_2,Haines Borough
02105,base.state_us_2,Hoonah-Angoon Census Area
02110,base.state_us_2,Juneau City and Borough
02122,base.state_us_2,Kenai Peninsula Borough
02130,base.state_us_2,Ketchikan Gateway Borough
02150,base.state_us_2,Kodiak Island Borough
02164,base.state_us_2,Lake and Peninsula Borough
02170,base.state_us_2,Matanuska-Susitna Borough
02180,base.state_us_2,Nome Census Area
02185,base.state_us_2,North Slope Borough
